"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"168",644190,750,1,0,1,0,0,1,0,1,0
"169",644287,749,1,1,1,0,0,1,1,0,0
"170",644604,749,1,0,0,1,0,1,0,0,0
"171",644758,749,1,1,0,1,0,0,1,0,0
"172",644785,749,0,0,0,0,1,1,1,0,0
"173",644859,749,0,0,1,0,1,1,1,0,0
"174",644948,752,0,0,0,0,0,1,1,0,0
"175",645251,749,1,1,1,1,1,1,1,0,0
"176",645301,749,1,1,1,1,1,1,1,0,0
"177",645482,750,1,1,0,1,1,0,1,1,1
"178",645582,750,1,1,1,0,1,0,1,0,0
"179",645643,0,0,1,0,0,0,0,1,0,0
"180",645858,749,1,0,0,0,0,0,0,1,0
"181",646213,750,1,1,1,0,1,0,1,1,0
"182",646430,749,1,1,0,0,0,1,1,0,0
"183",646450,750,1,0,1,0,1,1,1,1,0
"184",646736,0,1,1,0,0,0,0,0,0,0
"185",646913,749,0,0,0,0,1,1,1,0,0
"186",647061,749,1,0,1,0,0,1,0,0,0
"187",647435,750,0,0,0,0,1,0,1,0,0
"188",648104,750,1,1,1,1,1,0,0,0,1
"189",648107,750,1,0,0,0,1,0,1,0,0
"190",648284,749,1,1,1,0,0,1,0,0,0
"191",648296,749,1,1,1,0,1,1,1,0,1
"192",648380,749,1,1,1,1,1,1,1,0,0
"193",648447,749,1,0,1,0,0,0,1,0,0
"194",648692,749,0,1,0,0,0,1,1,0,0
"195",648693,749,1,1,0,1,0,0,1,0,0
"196",648713,749,0,1,0,0,0,0,1,0,0
"197",648857,749,1,1,0,0,0,1,1,0,0
"198",648868,749,1,1,1,0,1,1,1,0,0
"199",648970,749,0,1,1,1,1,1,1,0,0
"200",648972,749,1,0,1,0,0,0,0,0,0
"201",649037,749,1,1,1,1,1,1,1,0,0
"202",649093,750,0,0,0,0,0,1,1,0,0
"203",649107,749,1,1,1,0,0,1,1,0,0
"204",649118,749,1,1,1,1,1,0,1,0,0
